Second,12.6Hz,15.8Hz,20.0Hz,25.1Hz,31.6Hz,39.8Hz,50.1Hz,63.1Hz,79.4Hz,100.0Hz,125.9Hz,158.5Hz,199.5Hz,251.2Hz,316.2Hz,398.1Hz,501.2Hz,631.0Hz,794.3Hz,1000.0Hz,1258.9Hz,1584.9Hz,1995.3Hz,2511.9Hz,3162.3Hz,3981.1Hz,5011.9Hz,6309.6Hz,7943.3Hz,10000.0Hz,12589.3Hz,15848.9Hz
1,125.02,126.72,128.84,141.2,150.34,120.22,110.53,107.76,107.32,108.91,108.53,105.73,107.97,105.57,105.21,104.96,106.75,109.03,111.03,113.04,114.73,116.3,117.62,118.92,120.27,121.41,122.56,123.71,124.69,125.84,126.84,127.83
2,122.24,122.78,125.74,140.96,150.55,125.71,120.65,118.33,116.13,114.41,112.98,111.57,110.28,109.06,107.65,105.66,104.63,103.35,102.22,101.46,100.61,100.38,101.28,98.1,96.96,96.16,95.46,94.99,94.15,94.72,93.85,94.37
3,122.69,124.11,126.66,141.15,150.64,124.49,118.0,114.87,111.44,109.59,106.7,104.8,103.61,102.53,100.44,98.87,98.23,96.91,95.92,95.44,94.34,95.98,99.32,93.07,89.64,88.45,87.8,87.99,86.81,90.34,89.54,91.25
4,123.33,124.34,126.97,141.26,150.71,124.02,116.99,112.9,108.56,104.73,99.65,95.43,93.53,98.56,100.71,102.6,102.02,100.58,99.47,98.47,97.6,97.78,100.23,95.19,90.93,89.53,87.13,83.79,85.34,87.4,87.06,89.81
5,123.21,124.0,126.86,141.29,150.77,124.34,117.79,114.19,110.76,108.39,106.7,105.1,104.27,104.8,105.04,105.94,104.64,103.82,102.75,101.54,100.63,100.05,101.53,97.89,95.14,94.03,92.45,90.4,90.71,89.74,89.58,91.29
6,122.8,123.75,126.41,141.26,150.81,125.01,119.06,115.58,112.75,111.05,109.34,108.2,107.12,106.75,106.37,106.04,105.46,103.97,103.0,101.91,100.89,100.48,101.77,98.17,96.02,95.03,93.83,92.49,92.27,91.55,91.26,92.53
7,123.69,124.5,126.18,137.37,139.83,131.96,141.91,152.26,122.63,115.81,112.71,111.01,110.45,110.93,112.07,113.93,112.79,111.58,110.48,109.17,107.77,106.72,106.55,104.09,100.75,99.26,96.49,92.3,92.65,91.45,91.14,92.38
8,120.16,120.05,120.14,120.51,121.43,124.28,141.71,152.95,123.91,118.54,115.6,113.91,111.96,111.16,110.88,110.76,110.17,109.45,108.71,107.8,106.81,106.08,105.99,104.21,102.61,101.67,100.46,98.97,98.76,96.94,96.46,96.69
9,120.56,120.0,119.87,119.87,121.03,124.3,141.64,152.9,124.03,118.82,115.57,114.13,112.3,111.46,111.37,111.23,110.72,109.82,109.09,108.19,107.3,106.47,106.45,104.55,102.93,101.98,100.75,99.19,99.01,97.03,96.57,96.8
10,120.84,120.26,119.56,119.87,121.17,123.95,141.66,152.91,124.22,119.09,116.16,114.59,112.86,112.01,111.65,111.69,111.09,110.44,109.5,108.55,107.63,106.82,106.63,104.93,103.27,102.35,101.14,99.58,99.39,97.46,96.94,97.11
11,119.75,120.02,119.62,120.03,120.81,123.98,141.67,152.92,124.35,119.41,116.48,114.95,113.33,112.63,112.0,112.19,111.43,110.91,109.87,109.03,108.08,107.24,106.92,105.27,103.67,102.71,101.47,99.9,99.7,97.71,97.24,97.42
12,120.91,120.09,119.44,119.56,120.91,123.57,141.67,152.93,124.55,119.54,116.82,115.33,113.68,112.86,112.53,112.63,111.96,111.11,110.31,109.31,108.39,107.44,107.27,105.75,104.11,103.13,101.88,100.3,100.11,98.08,97.56,97.76
13,119.77,119.42,119.03,118.94,120.61,124.6,141.49,151.43,129.78,136.78,147.05,118.47,115.07,113.14,111.64,110.84,109.18,107.66,106.27,105.1,103.99,103.36,103.45,101.14,100.34,99.44,98.93,98.98,97.46,98.41,97.91,98.03
14,120.11,118.89,117.89,118.57,117.63,117.53,118.22,119.32,122.11,141.35,153.26,119.44,112.04,106.36,102.85,98.53,94.89,95.59,91.45,90.95,91.05,93.95,98.69,90.88,80.99,80.44,77.86,79.89,80.78,86.27,86.94,89.97
15,119.84,119.25,119.04,117.93,116.45,116.47,116.21,117.09,119.98,140.97,152.97,122.33,118.98,118.2,118.61,119.46,118.09,116.53,115.3,113.86,112.33,110.94,110.39,108.56,105.36,103.9,101.13,95.6,97.54,86.33,86.98,89.99
16,119.58,118.12,116.78,115.65,114.02,111.62,108.14,99.76,112.38,140.93,153.0,123.82,119.8,117.13,114.8,112.96,111.56,110.22,108.97,107.84,106.81,106.12,105.7,103.88,103.53,102.59,102.15,102.18,100.66,101.46,100.94,100.87
17,120.53,119.46,118.74,118.15,117.87,117.91,117.91,119.18,121.93,141.11,153.01,119.31,111.83,106.44,102.92,99.79,97.84,97.38,92.04,90.73,90.99,94.01,99.22,90.71,82.15,80.68,78.09,79.83,80.66,86.37,87.06,90.13
18,119.86,119.1,118.03,117.39,116.77,116.32,116.42,117.26,120.07,141.03,153.0,122.56,119.17,118.23,118.71,119.49,118.15,116.6,115.33,113.89,112.34,111.01,110.51,108.65,105.42,103.94,101.17,95.61,97.54,86.09,87.02,90.09
19,120.14,118.85,116.75,115.32,114.46,112.1,108.15,102.4,113.56,140.95,153.03,123.86,119.74,117.08,114.82,113.27,111.69,110.29,108.99,108.0,106.87,106.22,105.63,103.95,103.56,102.61,102.2,102.2,100.69,101.5,100.98,100.91
20,119.51,119.5,118.58,118.59,117.67,117.73,118.15,119.7,123.36,139.32,149.71,125.52,135.63,148.33,113.88,106.73,103.26,102.77,99.31,97.64,96.28,96.91,100.32,94.14,88.94,87.33,84.75,82.23,83.65,85.38,87.07,90.06
21,120.16,119.05,117.79,117.17,116.14,115.24,114.3,113.62,113.15,113.42,113.85,116.26,137.68,151.07,117.91,114.48,111.43,109.41,106.81,104.63,102.71,101.2,102.37,98.31,94.08,92.23,89.49,86.38,86.49,87.0,88.23,90.83
22,119.46,119.19,118.5,116.73,115.66,114.84,114.09,113.37,112.38,111.76,111.05,112.77,137.61,151.08,121.0,118.94,116.49,114.44,112.69,110.84,109.16,107.71,107.25,105.12,102.17,100.78,98.48,94.73,95.78,89.72,90.31,92.16
23,119.6,118.35,117.45,117.01,116.27,114.86,113.5,112.26,110.89,108.86,104.95,104.15,137.57,151.09,121.44,119.2,117.22,115.57,114.08,112.6,111.15,109.99,109.4,107.6,105.5,104.35,102.74,100.55,100.66,97.46,97.09,97.32
24,119.95,118.85,118.06,116.79,116.01,114.53,113.62,112.11,110.82,109.1,107.05,110.04,137.62,151.09,119.52,115.67,114.26,113.34,112.0,110.96,109.98,109.09,108.5,107.11,105.66,104.71,103.59,102.23,101.9,100.07,99.56,99.63
25,119.39,118.34,118.17,116.68,116.05,115.3,114.14,112.74,112.14,111.39,111.42,114.31,137.68,151.1,117.37,110.35,107.98,107.71,106.53,105.93,105.46,105.03,104.99,103.45,102.78,102.0,101.34,100.72,99.92,99.26,98.81,98.91
26,120.74,118.56,118.17,117.77,116.71,116.31,115.84,115.79,116.15,116.71,118.25,121.24,134.03,144.75,132.54,149.64,155.56,139.51,133.86,129.53,125.46,123.56,121.63,123.49,119.58,112.85,114.0,122.72,119.01,121.06,125.01,125.77
27,119.43,118.68,118.19,117.55,115.97,115.02,113.74,112.97,112.06,111.3,110.82,110.27,110.17,110.84,112.86,117.29,148.77,118.35,113.56,111.63,109.99,108.58,108.14,106.16,103.99,103.24,101.14,99.14,99.78,102.43,99.93,103.39
28,120.47,119.09,117.51,116.11,115.38,115.14,113.63,112.52,111.79,110.48,109.36,107.65,105.7,102.92,97.35,119.33,148.77,116.35,108.32,105.58,104.27,103.11,103.27,100.89,100.64,100.63,99.48,99.64,99.14,103.24,101.1,103.86
29,119.39,119.25,117.57,116.89,116.52,115.19,114.35,113.75,113.02,112.92,112.47,112.51,113.19,114.36,116.61,121.05,148.77,115.14,103.8,100.35,98.28,97.61,100.14,94.5,90.48,94.27,87.79,90.69,93.18,101.59,98.78,102.86
30,120.33,118.93,117.78,116.78,116.33,115.37,114.32,113.57,113.11,112.46,112.28,111.84,112.09,112.72,113.45,121.04,148.77,117.9,112.69,110.3,108.11,106.47,106.09,103.59,100.18,99.49,95.62,92.32,95.12,101.49,98.52,102.8
31,119.3,119.28,118.24,116.8,115.84,114.56,113.94,113.13,111.9,111.19,110.56,109.45,108.92,108.89,110.61,122.2,144.15,117.5,117.83,147.04,112.59,107.2,106.93,105.34,103.21,102.55,100.57,99.28,99.4,102.44,100.24,102.36
32,119.66,118.57,117.83,116.87,115.97,114.81,113.94,113.23,112.25,111.66,111.14,110.49,110.43,110.66,111.43,112.38,112.87,114.26,120.15,148.88,113.74,104.61,103.79,101.81,100.2,99.64,98.34,99.02,98.1,102.89,100.73,101.83
33,119.7,119.22,118.03,117.42,115.43,114.72,114.24,113.12,111.93,111.3,110.14,108.82,107.52,106.19,104.34,102.49,103.43,108.8,119.26,148.88,114.92,108.58,107.7,105.59,102.19,101.07,97.9,95.24,96.57,101.53,98.5,100.64
34,119.67,118.44,118.44,116.81,116.13,114.74,114.25,113.2,112.4,111.99,111.44,110.61,110.51,110.72,111.36,112.42,112.87,114.29,120.17,148.88,113.71,104.5,103.78,101.67,100.15,99.85,98.3,99.09,98.25,102.87,100.57,102.06
35,120.04,118.74,117.82,117.18,115.92,115.31,114.32,113.21,112.05,111.36,109.76,108.81,107.46,106.43,104.29,102.56,103.28,108.74,119.28,148.88,114.93,108.59,107.72,105.63,102.2,101.26,97.92,95.3,96.57,101.56,98.52,100.45
36,119.39,118.79,117.87,116.77,115.99,115.59,114.32,113.41,112.44,111.97,111.09,110.66,110.39,110.67,111.37,112.43,112.85,114.29,120.18,148.89,113.69,104.46,103.84,101.69,100.22,99.66,98.34,99.17,98.17,102.84,100.73,102.0
37,120.11,118.51,118.13,116.56,115.76,115.16,113.75,113.1,112.8,111.68,110.62,109.82,109.23,108.86,108.67,108.73,108.64,109.93,121.28,140.78,116.82,135.34,153.5,115.79,99.38,95.9,98.16,95.96,97.16,105.79,103.76,105.24
38,119.84,119.14,117.49,116.9,116.29,115.05,113.72,112.74,111.74,110.89,109.82,108.72,107.81,107.05,106.3,105.94,104.17,102.1,99.64,95.93,95.27,136.23,154.21,116.61,98.49,93.28,98.29,94.2,96.82,106.17,104.06,105.53
39,119.71,118.87,117.63,117.08,115.71,114.69,113.67,112.72,111.87,110.77,109.84,108.47,107.33,106.22,105.04,104.7,102.48,99.59,96.62,98.16,105.25,136.32,154.21,116.63,102.38,99.99,100.98,98.22,99.21,106.39,104.21,105.74
40,120.11,119.12,118.26,116.9,115.97,114.56,113.73,112.86,112.02,110.99,109.82,108.6,107.91,106.98,106.3,105.56,104.03,102.02,100.1,100.21,104.75,136.22,154.21,117.09,104.29,100.88,101.01,98.37,98.91,106.4,104.27,105.78
41,119.45,119.44,117.45,116.86,115.83,114.92,113.76,113.03,111.94,110.9,110.64,109.72,108.93,108.41,108.4,108.08,107.22,106.26,105.39,104.98,106.08,136.19,154.21,116.5,94.71,93.39,98.8,94.33,97.87,106.15,103.95,105.58
42,120.05,118.46,118.25,116.96,116.51,114.94,114.33,113.38,112.61,112.03,110.58,109.98,109.61,109.77,109.97,110.59,110.25,110.03,110.3,110.91,112.93,133.27,150.45,118.29,136.27,151.38,109.37,103.81,101.84,110.29,105.46,106.36
43,119.41,118.88,118.15,116.63,116.22,114.99,114.25,113.27,112.35,111.08,110.76,109.45,108.56,107.85,107.73,107.19,106.49,104.28,102.08,100.28,99.11,99.71,102.63,105.27,138.6,153.75,111.61,101.09,100.73,111.55,104.67,105.76
44,119.92,118.18,117.7,116.8,116.3,114.54,114.17,112.91,112.33,111.86,110.79,109.9,109.62,109.58,109.62,109.71,109.27,108.81,108.27,108.01,107.93,108.45,109.46,111.4,138.63,153.76,110.96,100.86,101.83,111.59,104.98,105.83
45,119.93,118.73,117.87,117.46,115.97,115.15,113.86,113.14,112.12,111.16,110.55,109.37,108.91,108.39,108.33,108.49,107.33,106.37,105.72,104.84,104.18,103.78,104.91,104.26,138.6,153.76,112.63,105.47,103.96,111.9,106.05,106.7
46,119.42,118.89,117.69,116.97,115.73,114.94,113.74,112.77,111.78,110.94,109.89,108.61,107.55,106.47,105.85,105.52,103.57,101.01,98.53,96.17,95.96,99.19,103.55,108.07,138.62,153.76,111.11,98.88,99.56,111.42,104.47,105.43
47,120.28,118.69,117.76,116.84,116.06,115.12,113.92,113.0,112.55,111.67,110.47,109.63,108.86,108.78,108.5,108.47,107.52,106.84,106.08,105.46,105.11,105.25,106.57,111.01,136.85,151.88,112.59,134.63,147.34,112.62,107.19,107.6
48,119.45,119.13,118.07,117.01,115.64,114.76,113.98,113.07,112.72,111.74,110.23,109.48,108.91,108.41,108.27,108.18,107.35,106.54,105.63,104.98,104.17,103.76,104.76,103.12,101.84,102.47,99.47,138.24,151.47,107.34,103.06,108.23
49,119.99,118.72,118.1,116.39,115.92,114.77,113.33,112.99,112.22,110.93,110.17,109.25,108.43,107.93,107.73,107.83,106.68,105.67,104.11,103.13,101.99,101.3,102.27,98.64,97.71,100.02,102.5,138.25,151.47,106.07,100.65,107.84
50,119.81,119.13,117.77,116.59,116.0,115.28,113.7,113.19,112.16,111.44,110.35,109.19,108.61,108.51,107.94,108.03,107.28,105.61,104.2,103.0,102.02,101.14,102.47,98.72,94.57,96.12,99.99,138.25,151.47,107.95,104.05,108.44
51,119.47,118.93,117.47,116.99,116.57,114.8,113.78,112.97,112.18,111.23,110.61,109.3,108.73,108.65,108.3,108.82,107.43,106.43,105.64,104.9,104.28,103.77,104.62,102.95,102.64,103.97,108.03,138.25,151.47,106.07,100.78,107.89
52,120.3,118.97,118.33,116.49,116.04,115.07,113.8,113.24,112.06,111.15,110.23,109.24,108.3,108.09,107.59,107.54,106.55,104.72,103.16,101.44,99.67,98.75,100.74,94.26,92.81,99.03,107.28,138.25,151.47,107.53,103.3,108.4
53,119.55,118.36,117.62,117.31,115.9,115.25,114.16,113.27,112.55,112.1,111.32,110.85,110.29,110.25,110.55,110.89,110.49,112.51,110.2,110.22,110.31,110.54,111.7,111.71,112.17,113.32,115.34,136.09,149.2,150.21,166.3,125.63
54,120.15,118.34,118.26,117.25,115.91,115.12,113.68,112.95,112.2,111.1,110.23,109.24,108.53,107.75,107.73,107.4,106.42,113.26,104.15,102.94,101.77,100.82,106.08,98.36,95.15,95.35,90.43,103.98,106.15,154.06,170.14,129.58
55,119.87,118.5,118.41,116.66,115.56,114.5,114.04,112.87,112.29,111.15,110.07,108.93,108.0,107.57,107.1,106.78,105.65,113.03,102.56,100.68,98.78,97.75,105.37,94.71,95.41,98.77,101.13,108.6,111.27,154.05,170.14,129.62
56,119.54,118.86,117.76,116.65,116.12,115.03,114.02,113.0,112.1,111.31,110.71,108.9,108.13,107.97,106.59,106.46,104.97,112.94,101.34,98.96,97.48,96.67,105.5,97.56,99.78,102.45,104.68,109.57,112.53,154.05,170.14,129.79
57,120.33,118.5,117.87,117.05,116.15,114.9,113.91,112.81,111.97,111.15,109.85,109.16,107.74,107.44,106.59,106.21,105.35,113.04,101.01,98.73,96.56,96.54,105.46,98.55,100.46,102.76,104.53,107.89,111.11,154.05,170.14,129.89
58,119.62,119.27,117.8,116.83,115.84,115.18,113.76,113.14,111.87,111.44,110.23,109.27,108.34,107.49,107.03,107.08,105.72,112.71,102.65,100.9,99.24,98.63,105.46,97.15,101.99,101.49,99.6,106.36,109.34,153.87,169.96,156.89
59,119.56,118.96,117.51,116.54,115.84,115.04,114.36,112.59,112.19,111.68,110.51,110.58,109.71,109.46,109.36,109.52,109.06,108.38,107.69,107.17,106.84,106.7,107.37,106.84,114.65,112.12,107.69,109.0,114.89,118.0,156.28,170.6
60,119.87,118.98,117.86,117.64,116.76,115.24,114.33,112.99,111.98,111.81,111.29,110.05,109.64,109.74,109.64,109.79,109.54,108.7,108.15,107.79,107.7,107.7,108.28,107.98,114.9,112.53,108.94,109.62,115.18,114.29,156.27,170.59
61,119.55,119.43,118.31,116.8,116.1,114.82,114.04,113.06,112.1,111.51,110.71,110.08,109.27,109.05,109.33,109.65,108.77,107.9,107.41,107.0,106.63,106.69,107.29,106.8,114.7,111.99,106.87,106.57,114.11,114.04,156.27,170.59
62,120.02,118.19,118.04,116.84,115.98,114.7,114.17,113.02,112.47,111.73,110.59,109.49,108.72,108.42,108.15,108.17,107.57,106.56,105.48,104.76,103.95,103.58,104.19,102.55,114.19,110.95,99.44,98.84,112.82,117.56,156.27,170.59
63,120.09,119.15,117.6,117.73,115.47,114.7,114.09,112.69,111.91,111.03,110.21,109.11,108.2,107.68,107.08,106.88,105.79,104.05,102.4,100.96,99.29,98.27,100.33,95.02,113.94,110.69,98.32,104.17,113.45,118.58,156.27,170.59
64,119.21,118.78,118.41,116.5,115.5,114.63,113.59,112.64,111.71,111.62,109.86,108.84,107.75,107.2,106.02,105.72,104.27,102.24,99.73,97.62,95.76,96.37,100.33,98.51,114.1,111.17,104.89,107.85,114.5,116.87,156.27,170.59
65,120.33,118.45,117.41,116.33,115.88,115.16,113.93,113.13,112.22,110.63,109.96,108.62,108.13,106.66,106.12,105.68,104.34,101.92,99.6,97.53,95.88,96.89,100.87,99.07,114.17,111.23,105.05,107.09,114.24,114.26,156.27,170.59
66,119.97,119.13,117.89,116.88,116.07,114.91,113.46,113.09,111.95,111.04,110.16,109.21,108.37,107.58,107.18,106.7,105.33,103.69,102.23,100.3,98.52,97.93,100.32,95.78,114.02,110.75,99.66,101.75,113.12,116.42,156.27,170.6
67,119.21,118.73,118.25,116.69,116.23,114.88,114.39,113.04,112.11,111.34,110.7,109.44,109.25,108.68,108.65,108.91,107.68,105.9,105.14,104.33,103.86,103.89,105.7,101.99,114.07,110.92,100.61,103.38,113.28,118.54,156.28,170.6
68,120.01,118.56,117.06,117.11,115.94,114.42,113.83,112.8,112.31,111.27,110.64,109.69,109.25,109.1,109.27,109.27,108.66,107.76,107.31,106.9,106.4,106.4,107.11,106.39,114.57,111.97,107.14,108.61,114.72,117.91,156.28,170.6
69,119.74,118.88,118.22,117.7,115.93,114.98,114.18,113.46,112.35,111.4,110.7,110.05,109.63,109.49,109.46,109.66,109.19,108.45,108.04,107.77,107.48,107.55,108.34,108.02,114.92,112.53,108.94,109.63,115.19,114.49,156.28,170.6
70,119.53,118.6,117.48,116.86,115.74,114.9,114.02,113.03,112.28,111.49,110.98,109.96,109.18,109.0,109.13,109.38,108.8,108.08,107.58,107.16,106.8,106.98,107.59,106.99,114.74,112.07,107.15,106.89,114.23,113.89,156.28,170.6
